id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
0,411,15,42,0,0,0,0,0,3,4,23,0,1
13,422,19,5,62,1,0,3,2,1,0,0,0,0
15,443,0,0,0,0,0,0,0,1,1,0,0,0
16,432,0,0,0,0,3,2,0,0,1,0,0,0
18,407,33,13,73,0,0,0,2,0,8,1,2,0
19,365,11,1,105,0,0,0,0,1,2,1,0,0
21,407,33,13,73,0,0,0,2,0,8,1,2,0
22,408,0,0,61,0,0,1,2,0,0,0,0,0
30,400,142,37,0,0,0,0,0,0,0,0,0,0
36,409,64,66,1,0,0,0,62,0,90,0,2,1
42,421,8,0,51,0,0,0,0,1,6,0,0,0
44,401,5,1,75,0,0,0,0,0,1,0,0,0
45,423,6,0,90,0,0,0,0,1,3,0,0,0
47,398,17,78,0,284,3,0,101,1,1,0,0,0
48,410,6,1,0,1,4,4,88,4,3,0,0,166
51,412,59,8,3,139,0,0,22,1,1,4,0,0
52,398,17,78,0,284,3,0,101,1,1,0,0,0
54,399,55,25,52,0,51,2,11,1,0,0,0,0
60,447,35,6,1,100,0,0,33,3,4,0,0,0
61,424,43,79,0,0,0,0,111,0,0,0,0,1
64,431,33,45,0,77,1,3,13,3,5,0,0,0
66,418,16,1,79,0,1,1,0,0,5,0,0,0
67,387,1,3,11,0,1,2,127,2,5,0,0,184
70,445,12,4,60,1,1,1,0,0,2,1,0,0
72,394,36,36,0,250,1,1,121,2,4,0,0,0
75,402,0,0,0,0,1,2,0,0,3,0,0,0
80,318,12,3,34,0,0,4,0,0,1,0,0,0
82,363,12,3,83,0,0,2,0,1,3,0,0,0
84,405,0,0,48,0,0,2,1,0,3,0,0,0
86,415,5,94,0,255,1,1,101,2,3,0,0,3
90,358,25,0,62,3,0,1,0,0,2,1,2,0
92,349,24,0,93,0,0,4,0,1,2,0,0,0
93,428,67,64,1,0,0,1,40,1,15,0,22,0
94,425,50,26,0,7,129,20,5,0,0,0,0,0
95,383,9,0,63,0,1,0,0,1,3,0,0,0
